,KL,Reconstruction,Loss,MD
0,0.0051639005891047415,0.10070522106622906,tensor(333.7426),1.0
1,0.07278478592634201,0.09599084905689535,tensor(333.6068),0.99993109625
2,0.47361295223236083,0.07789665945566979,tensor(327.6552),0.8908097075
3,1.1574338257312775,0.06921852742652537,tensor(321.1064),0.9992719787500001
4,1.9192423462867736,0.06742832365442232,tensor(316.4161),0.9608789625
5,2.431499683856964,0.06653341509398852,tensor(312.0169),0.9999999125000001
6,2.851210916042328,0.06537216007434392,tensor(308.0488),0.9991195149999998
7,3.0671483516693114,0.06469161546624902,tensor(302.5260),0.99992486375
8,3.4613552391529083,0.06435222542727669,tensor(296.8119),0.9995422887500001
9,3.8276443898677828,0.06395797981021745,tensor(293.6321),0.9813874574999999
10,3.9454583048820497,0.06348124507485005,tensor(288.0615),0.9992552912500001
11,4.3313138604164125,0.06323429768182634,tensor(284.3195),0.9931335875
12,4.500245296955109,0.062860573858286,tensor(279.8274),0.99873888125
13,4.843789434432983,0.06256308270745801,tensor(276.1074),0.99686798
14,4.665651714801788,0.06235365416748014,tensor(267.7655),0.9994118750000001
15,5.029129660129547,0.062353115894227575,tensor(267.7764),0.99872945875
16,4.953075861930847,0.062185167999046234,tensor(265.2280),0.9610915524999999
17,4.762096095085144,0.06194443258119261,tensor(257.4628),0.9976666974999999
18,4.882124972343445,0.06194248926383311,tensor(255.2196),0.99602604375
19,4.938493239879608,0.06205966360380668,tensor(254.3407),0.9649607474999999
20,4.425884759426117,0.061930649063289454,tensor(249.2695),0.996514905
21,4.6521629095077515,0.061900508678888536,tensor(247.1478),0.9968005375
22,4.126216012239456,0.061698961767281936,tensor(243.0719),0.9820659075
23,4.068840795755387,0.061643401101540096,tensor(238.9859),0.97897418125
24,3.8736228227615355,0.06166987951742257,tensor(233.6003),0.9935069849999999
25,3.592003786563873,0.06136860656939506,tensor(230.0781),0.9966497824999999
26,3.5864397466182707,0.061476748080519596,tensor(233.5753),0.9779428050000001
27,3.5888430416584014,0.06123685649402473,tensor(230.6447),0.97994963625
28,3.280593830347061,0.06079693451792998,tensor(225.7469),0.96367218625
29,3.2912065148353578,0.06037434584607428,tensor(221.8260),0.9802453149999999
30,3.1191572546958923,0.060488120210716256,tensor(219.7763),0.9916847099999999
31,3.0558466136455538,0.06044827440743017,tensor(218.8867),0.9807244737499999
32,2.8999754965305327,0.060325749329490606,tensor(215.8461),0.9922384762500001
33,2.8446490347385405,0.060547876993144345,tensor(214.7330),0.98659456375
34,2.6997685372829436,0.06034279136250238,tensor(209.9570),0.95941941375
35,2.592539542913437,0.06003310625996137,tensor(206.8925),0.95299666375
36,2.586677473783493,0.06021621857031534,tensor(208.6061),0.96499179125
37,2.433262598514557,0.06038059233109964,tensor(206.1144),0.9703678125
38,2.343754678964615,0.06020767240085373,tensor(200.1711),0.9785901100000001
39,2.2766211450099947,0.060238721108791846,tensor(197.8821),0.975731675
